РАЗРАБОТКА ПРИЛОЖЕНИЯ ВЕБ-СКРАПИНГА С ВОЗМОЖНОСТЯМИ ОБХОДА БЛОКИРОВОК,2019,"Рассматриваются основные принципы и понятия процесса веб-скрапинга. Проводится обзор существующих решений для веб-скрапинга, выделяются основные достоинства и недостатки веб-скраппинга с возможностью обхода блокировок.",https://cyberleninka.ru/article/n/razrabotka-prilozheniya-veb-skrapinga-s-vozmozhnostyami-obhoda-blokirovok,"Москаленко Алексей Анатольевич, Лапонина Ольга Робертовна, Сухомлин Владимир Александрович"
ПРОЕКТИРОВАНИЕ ВЕБ-СКРАПЕРА ДЛЯ ПОЛУЧЕНИЯ ДАННЫХ С САЙТОВ КНИЖНЫХ ИЗДАТЕЛЬСТВ,2018,Описан процесс веб-скрапинга данных. Предложена структура веб-скрапера для реализации сбора данных с сайтов книжных издательств. Описана технологическая архитектура веб-скрапера.,https://cyberleninka.ru/article/n/proektirovanie-veb-skrapera-dlya-polucheniya-dannyh-s-saytov-knizhnyh-izdatelstv,Бастрикина В.В.
ЧТО СКРЫВАЕТ РУССКИЙ РЭП? ТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ ТЕКСТОВ РУССКОЯЗЫЧНОЙ ХИП-ХОП СЦЕНЫ,2020,"Корпус содержит более 11 000 текстов, собранных авторами посредством автоматического извлечения данных с веб-страниц (веб-скрапинга) и покрывающих более 500 исполнителей, творчество которых приходится на разное время и отличается разной степенью известности.",https://cyberleninka.ru/article/n/chto-skryvaet-russkiy-rep-tematicheskoe-modelirovanie-tekstov-russkoyazychnoy-hip-hop-stseny,"Бойченко Антон Евгеньевич, Жучкова Светлана Васильевна"
Практическое применение асинхронного программирования на языке Python при помощи пакета asyncio,2018,"Предметом исследования является изучение основных принципов асинхронного программирования с помощью пакета Asyncio и их применение для решения прикладных задач на языке Python. Поскольку в интерпретаторе языка Python используется способ синхронизации потоков Global Interpreter Lock, ограничивающий возможность распараллеливания программ на данном языке и, как следствие, не позволяет достичь наибольшей эффективности, использование технологий асинхронного программирования позволяет значительно увеличить скорость работы программ на данном языке, обходя упомянутые ограничения. Вышеописанный подход к созданию программ применяется в решении многих задач, например: при создании веб-сервера, клиент-серверного приложения, при извлечении данных с информационного ресурса веб-краулером. Данная работа посвящена объяснению основных принципов работы с пакетом Asyncio на языке Python. Поскольку русскоязычной литературы по данному пакету зачастую не хватает для того, чтобы понять основы асинхронного программирования в языке Python, в этой статье приводятся примеры использования данной технологии с пояснениями.",https://cyberleninka.ru/article/n/prakticheskoe-primenenie-asinhronnogo-programmirovaniya-na-yazyke-python-pri-pomoschi-paketa-asyncio,"Савостин Петр Алексеевич, Ефремова Наталья Эрнестовна"
Система управления доступом к ресурсам Веб приложений на основе анализа поведения пользователя,2020,рассмотрен веб-скрапинг - процесс извлечения данных со страниц веб-сайтов в интернете с помощью автоматизации обращений к веб-сайту. В последнее время задача определения программ веб-скраперов стала актуальна.,https://cyberleninka.ru/article/n/sistema-upravleniya-dostupom-k-resursam-veb-prilozheniy-na-osnove-analiza-povedeniya-polzovatelya,"Москаленко А.А., Лапонина О.Р., Сухомлин В.А."
СОВМЕСТНОЕ ИСПОЛЬЗОВАНИЕ ДОПОЛНЕННОЙ РЕАЛЬНОСТИ И ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ОБРАЗОВАНИИ,2020,"В статье рассматриваются перспективы использования технологий виртуальной и дополненной реальностей в учебном процессе, а также способность их интеграции с технологиями искусственного интеллекта. Рассмотрен вопрос использования этих технологий при заочном или дистанционном формате получения образования. Целью данного исследования было повысить мотивацию обучающихся к учению, а также работе с рекомендованной учебной литературой. Для достижения указанной цели разрабатывается приложение для мобильных устройств на базе операционной системы Android, работа которого описана в данной статье. Идея нашего исследования заключается в создании системы, которая может разнообразить учебный процесс, дополняя рекомендованные учебники интеллектуальными функциями и визуальными эффектами. Для разработки приложения для мобильного устройства использовались языки программирования C# и JavaScript, для серверной части - Python. Для работы системы требуется минимум оборудования: смартфон (с операционной системой Android), сервер и VR-гарнитура (необязательно). Сделан вывод, что для повышения интереса к учебе, а также повышения качества усваиваемого материала целесообразно использование технологий виртуальной реальности и дополненной реальности совместно с элементами технологии искусственного интеллекта.",https://cyberleninka.ru/article/n/sovmestnoe-ispolzovanie-dopolnennoy-realnosti-i-iskusstvennogo-intellekta-v-obrazovanii,"Кургузов Антон Владимирович, Латушкина Валерия Александровна"
Web-scraping и классификация текстов методом наивного Байеса,2018,"Классификация текста необходима для решения задачи информационного поиска, заключающаяся в отнесении документа к одной из нескольких категорий на основании содержания документа.",https://cyberleninka.ru/article/n/web-scraping-i-klassifikatsiya-tekstov-metodom-naivnogo-bayesa,"Басалаева А.Ю., Гареева Г.А., Григорьева Д.Р."
Анализ жесткости цен в розничной онлайн-торговле Москвы,2020,"Согласно теоретическим представлениям, жесткость цен является важнейшим условием работы процентного канала, который в свою очередь является ключевым в контексте политики инфляционного таргетирования, проводимой в том числе в России. В статье исследуется жесткость цен на продовольственные, непродовольственные товары и услуги. Использованы ежедневные данные онлайн-ритейлеров Москвы за период с февраля 2019 года по май 2020-го. Обнаружено, что средний период неизменности цен составляет 19,5 дня. Распространены малые изменения цен: так, доля изменений цен, не превышающих 5% в абсолютном выражении, составила 34% всех изменений цен и 39% изменений, не связанных с распродажами. Кроме того, наблюдается значительная гетерогенность в частоте изменений цен: так, частота изменения цен на продукты выше, чем на непродовольственные товары, а стоимость услуг меняется реже всего. Наблюдаемое поведение цен демонстрирует, что их изменения зависят и от времени, и от состояния экономики. На зависимость от времени указывает, например, резкий рост вероятности изменения цен на 335-й и 353-й день их неизменности. Этот факт подтверждает выводы ряда зарубежных исследований о том, что их изменение более вероятно в конце и начале года. Проведенный анализ также показывает, что в марте — мае 2020 года фирмы стали изменять цены чаще и на меньшую величину — очевидно, в связи с ростом неопределенности из-за пандемии коронавируса. Если с марта по май 2019 года повышение цен наблюдалось в 50,2% случаев их изменения, то за аналогичный период 2020 года — в 62,7% случаев. Увеличилось количество дней с повышением цен — с 65 до 84 (из 92 дней марта — мая). Таким образом, частота изменений цен определяется как временем, так и ситуацией в экономике.",https://cyberleninka.ru/article/n/analiz-zhestkosti-tsen-v-roznichnoy-onlayn-torgovle-moskvy,"Александра Викторовна Божечкова, Алексей Сергеевич Евсеев"
МОДЕЛИ ИМПОРТА ДАННЫХ ИЗ ТВИТТЕРА,2021,"Описываются алгоритм импорта данных из социальной сети Twitter и построение взвешенных социальных графов. Для импорта данных за основу берутся заданные посты, скачиваются пользователи, имевшие с ними какое-либо из зафиксированных взаимодействий. Далее алгоритм ориентируется на заданную конфигурацию и по ней вычисляет веса на ребрах полученного графа. Конфигурация учитывает тип взаимодействия пользователей между собой. Авторы вводят понятие (F, L, C, R)-модели информационного взаимодействия.Авторы описывают разработанный алгоритм и реализованное программное обеспечение для построения взвешенных графов. В статье показано применение алгоритма и трех моделей на примере как отдельного поста, так и серии постов.",https://cyberleninka.ru/article/n/modeli-importa-dannyh-iz-tvittera,"Попов В. А., Чеповский А. А."
Люди Московского университета в зеркале Википедии,2018,"Обсуждаются цели и актуальные результаты проекта факультета ВМК МГУ по систематизации и мониторингу статей по персоналиям Московского университета в свободной энциклопедии Википедия и некоторых других интернет-источниках. Приведены статистические данные на весну 2018 года по выпускникам Московского университета в сравнении с аналогичными данными по университетам Оксфорда, Кембриджа, Гарварда и Парижа. Сообщается о средствах автоматизации мониторинга и других процедур для повышения качества отражения истории Московского университета в интернете. Проект выполняется в сотрудничестве с музеями МГУ.",https://cyberleninka.ru/article/n/lyudi-moskovskogo-universiteta-v-zerkale-vikipedii,"Леонов М.В., Раевский Е.Н., Леонов В.М."
